"ID","ID_Location","Outer_Fold","Inner_Fold"
1,1,9,10
2,1,9,10
3,1,9,10
4,2,4,4
5,2,4,4
6,2,4,4
7,3,5,1
8,3,5,1
9,3,5,1
10,4,8,2
11,4,8,2
12,4,8,2
13,5,9,4
14,5,9,4
15,5,9,4
16,6,4,9
17,6,4,9
18,6,4,9
19,7,1,1
20,7,1,1
21,7,1,1
22,8,3,9
23,8,3,9
24,8,3,9
25,9,10,9
26,9,10,9
27,9,10,9
28,10,1,4
29,10,1,4
30,10,1,4
31,11,6,8
32,11,6,8
33,11,6,8
34,12,7,9
35,12,7,9
36,12,7,9
37,13,3,9
38,13,3,9
39,13,3,9
40,14,7,4
41,14,7,4
42,14,7,4
43,15,6,7
44,15,6,7
45,15,6,7
46,16,7,3
47,16,7,3
48,16,7,3
49,17,10,8
50,17,10,8
51,17,10,8
52,18,9,3
53,18,9,3
54,18,9,3
55,19,4,8
56,19,4,8
57,19,4,8
58,20,1,7
59,20,1,7
60,20,1,7
61,21,4,5
62,21,4,5
63,21,4,5
64,22,8,7
65,22,8,7
66,22,8,7
67,23,1,1
68,23,1,1
69,23,1,1
70,24,3,2
71,24,3,2
72,24,3,2
73,25,3,5
74,25,3,5
75,25,3,5
76,26,7,4
77,26,7,4
78,26,7,4
79,27,6,8
80,27,6,8
81,27,6,8
82,28,3,2
83,28,3,2
84,28,3,2
88,30,4,1
89,30,4,1
90,30,4,1
91,31,9,9
92,31,9,9
93,31,9,9
94,32,7,7
95,32,7,7
96,32,7,7
97,33,5,9
98,33,5,9
99,33,5,9
100,34,9,10
101,34,9,10
102,34,9,10
103,35,4,3
104,35,4,3
105,35,4,3
106,36,3,9
107,36,3,9
108,36,3,9
109,37,5,2
110,37,5,2
111,37,5,2
112,38,8,9
113,38,8,9
114,38,8,9
115,39,3,2
116,39,3,2
117,39,3,2
118,40,5,4
119,40,5,4
120,40,5,4
121,41,3,4
122,41,3,4
123,42,6,5
124,42,6,5
125,42,6,5
126,43,4,8
127,43,4,8
128,43,4,8
129,44,6,3
130,44,6,3
131,44,6,3
132,45,7,4
133,45,7,4
134,45,7,4
135,46,4,6
136,46,4,6
137,46,4,6
138,47,1,7
139,47,1,7
140,47,1,7
141,48,9,8
142,48,9,8
143,48,9,8
147,50,6,10
148,50,6,10
149,50,6,10
150,51,3,6
151,51,3,6
152,51,3,6
153,52,1,9
154,52,1,9
155,52,1,9
156,53,10,7
157,53,10,7
158,53,10,7
159,54,7,6
160,54,7,6
161,54,7,6
162,55,10,2
163,55,10,2
164,55,10,2
165,56,5,9
166,56,5,9
167,56,5,9
168,57,8,9
169,57,8,9
170,57,8,9
171,58,1,5
172,58,1,5
173,59,7,4
174,59,7,4
175,59,7,4
176,60,1,9
177,60,1,9
178,60,1,9
179,61,5,3
180,61,5,3
181,61,5,3
182,62,4,2
183,62,4,2
184,62,4,2
185,63,10,9
186,63,10,9
187,63,10,9
188,64,6,1
189,64,6,1
190,64,6,1
191,65,6,7
192,65,6,7
193,65,6,7
194,66,4,10
195,66,4,10
196,66,4,10
197,67,6,8
198,67,6,8
199,68,10,10
200,68,10,10
201,68,10,10
202,69,6,7
203,69,6,7
204,69,6,7
205,70,4,3
206,70,4,3
207,70,4,3
208,71,9,5
209,71,9,5
210,72,9,7
211,72,9,7
212,72,9,7
213,73,9,5
214,73,9,5
215,73,9,5
216,74,10,3
217,74,10,3
218,74,10,3
219,75,7,7
220,75,7,7
221,76,4,3
222,76,4,3
223,76,4,3
224,77,3,5
225,77,3,5
226,77,3,5
227,78,5,5
228,78,5,5
229,78,5,5
230,79,7,3
231,79,7,3
232,80,8,6
233,80,8,6
234,80,8,6
241,83,9,1
242,83,9,1
243,83,9,1
244,84,10,1
245,84,10,1
246,84,10,1
247,85,5,7
248,85,5,7
249,85,5,7
250,86,5,8
251,86,5,8
252,86,5,8
253,87,8,1
254,87,8,1
255,87,8,1
259,89,10,5
260,89,10,5
261,89,10,5
262,90,10,4
263,90,10,4
264,90,10,4
265,91,1,1
266,91,1,1
267,92,1,4
268,92,1,4
269,93,10,1
270,93,10,1
271,93,10,1
272,94,8,10
273,94,8,10
274,94,8,10
275,95,4,9
276,95,4,9
277,95,4,9
281,97,7,2
282,97,7,2
283,97,7,2
284,98,1,3
285,98,1,3
286,98,1,3
290,100,9,10
291,100,9,10
292,100,9,10
293,101,5,9
294,101,5,9
295,101,5,9
296,102,5,8
297,102,5,8
298,102,5,8
299,103,6,3
300,103,6,3
301,103,6,3
302,104,1,8
303,104,1,8
304,104,1,8
305,105,8,6
306,105,8,6
307,105,8,6
308,106,6,8
309,106,6,8
310,106,6,8
311,107,8,2
312,107,8,2
313,107,8,2
314,108,6,6
315,108,6,6
316,108,6,6
317,109,4,6
318,109,4,6
319,109,4,6
320,110,7,4
321,110,7,4
322,110,7,4
323,111,6,2
324,111,6,2
325,111,6,2
326,112,4,6
327,112,4,6
328,112,4,6
329,113,10,2
330,113,10,2
331,113,10,2
332,114,4,3
333,114,4,3
334,115,3,3
335,115,3,3
336,115,3,3
337,116,4,10
338,116,4,10
339,116,4,10
340,117,3,5
341,117,3,5
342,117,3,5
343,118,7,1
344,118,7,1
345,118,7,1
346,119,3,6
347,119,3,6
348,119,3,6
354,122,4,10
355,122,4,10
356,122,4,10
357,123,5,2
358,123,5,2
359,123,5,2
360,124,10,6
361,124,10,6
362,125,9,4
363,125,9,4
364,125,9,4
365,126,7,9
366,126,7,9
367,126,7,9
368,127,7,6
369,127,7,6
370,127,7,6
371,128,5,10
372,128,5,10
373,128,5,10
374,129,5,10
375,129,5,10
376,129,5,10
377,130,5,10
378,130,5,10
379,130,5,10
380,131,3,7
381,131,3,7
382,131,3,7
385,133,1,3
386,133,1,3
387,133,1,3
388,134,10,6
389,134,10,6
390,134,10,6
391,135,8,4
392,135,8,4
393,135,8,4
394,136,7,8
395,136,7,8
396,136,7,8
397,137,7,10
398,137,7,10
399,137,7,10
400,138,1,2
401,138,1,2
402,139,6,2
403,139,6,2
404,139,6,2
405,140,1,5
406,140,1,5
407,140,1,5
408,141,4,7
409,141,4,7
413,143,8,2
414,143,8,2
415,143,8,2
416,144,8,1
417,144,8,1
418,144,8,1
419,145,3,5
420,145,3,5
421,145,3,5
422,146,5,2
423,146,5,2
424,146,5,2
425,147,8,8
426,147,8,8
427,147,8,8
428,148,10,5
429,148,10,5
430,148,10,5
431,149,4,1
432,149,4,1
433,149,4,1
434,150,6,8
435,150,6,8
436,150,6,8
437,151,3,1
438,151,3,1
439,151,3,1
440,152,6,6
441,152,6,6
442,152,6,6
446,154,8,10
447,154,8,10
448,154,8,10
449,155,1,4
450,155,1,4
451,155,1,4
452,156,9,1
453,156,9,1
454,156,9,1
457,158,9,10
458,158,9,10
459,158,9,10
460,159,4,6
461,159,4,6
462,159,4,6
463,160,1,6
464,160,1,6
465,160,1,6
466,161,4,2
467,161,4,2
468,161,4,2
469,162,8,7
470,162,8,7
471,162,8,7
478,165,6,1
479,165,6,1
480,165,6,1
481,166,1,4
482,166,1,4
483,166,1,4
484,167,9,8
485,167,9,8
486,167,9,8
487,168,9,10
488,168,9,10
489,168,9,10
490,169,9,4
491,169,9,4
492,169,9,4
493,170,10,10
494,170,10,10
495,170,10,10
496,171,4,1
497,171,4,1
498,171,4,1
499,172,6,6
500,172,6,6
501,172,6,6
502,173,1,7
503,173,1,7
504,173,1,7
505,174,5,5
506,174,5,5
507,174,5,5
508,175,6,7
509,175,6,7
510,175,6,7
511,176,10,2
512,176,10,2
513,176,10,2
514,177,7,8
515,177,7,8
516,177,7,8
517,178,3,3
518,178,3,3
519,179,10,1
520,179,10,1
521,179,10,1
522,180,1,5
523,180,1,5
524,180,1,5
525,181,10,4
526,181,10,4
527,182,10,8
528,182,10,8
529,182,10,8
530,183,8,5
531,183,8,5
532,183,8,5
536,185,9,7
537,185,9,7
538,185,9,7
539,186,1,3
540,186,1,3
541,186,1,3
542,187,6,10
543,187,6,10
544,187,6,10
545,188,8,1
546,188,8,1
547,188,8,1
548,189,1,2
549,189,1,2
550,189,1,2
551,190,1,4
552,190,1,4
553,190,1,4
554,191,7,6
555,191,7,6
556,191,7,6
560,193,8,7
561,193,8,7
562,194,7,10
563,194,7,10
564,194,7,10
565,195,8,4
566,195,8,4
567,195,8,4
568,196,5,3
569,196,5,3
570,196,5,3
571,197,7,5
572,197,7,5
573,197,7,5
574,198,9,4
575,198,9,4
576,198,9,4
583,201,10,4
584,201,10,4
585,201,10,4
586,202,6,6
587,202,6,6
588,202,6,6
589,203,5,1
590,203,5,1
591,203,5,1
592,204,10,1
593,204,10,1
594,204,10,1
595,205,1,1
596,205,1,1
597,205,1,1
598,206,3,6
599,206,3,6
600,206,3,6
601,207,4,10
602,207,4,10
603,207,4,10
604,208,1,2
605,208,1,2
606,208,1,2
607,209,5,2
608,209,5,2
609,209,5,2
610,210,4,9
611,210,4,9
612,210,4,9
613,211,8,3
614,211,8,3
615,211,8,3
616,212,3,1
617,212,3,1
618,212,3,1
619,213,9,8
620,213,9,8
621,213,9,8
622,214,3,6
623,214,3,6
624,214,3,6
625,215,7,3
626,215,7,3
627,215,7,3
631,217,8,8
632,217,8,8
633,217,8,8
634,218,5,9
635,218,5,9
636,218,5,9
637,219,6,5
638,219,6,5
639,219,6,5
640,220,7,10
641,220,7,10
642,220,7,10
643,221,3,5
644,221,3,5
645,221,3,5
646,222,8,2
647,222,8,2
648,222,8,2
649,223,8,7
650,223,8,7
651,224,7,7
652,224,7,7
653,224,7,7
654,225,3,5
655,225,3,5
656,225,3,5
660,227,9,7
661,227,9,7
662,227,9,7
663,228,3,6
664,228,3,6
665,228,3,6
666,229,5,4
667,229,5,4
668,229,5,4
669,230,3,7
670,230,3,7
671,230,3,7
672,231,5,2
673,231,5,2
674,231,5,2
675,232,5,5
676,232,5,5
677,232,5,5
678,233,8,5
679,233,8,5
680,233,8,5
681,234,3,5
682,234,3,5
683,234,3,5
687,236,1,2
688,236,1,2
689,236,1,2
690,237,7,3
691,237,7,3
692,237,7,3
693,238,6,1
694,238,6,1
695,238,6,1
696,239,4,9
697,239,4,9
698,239,4,9
699,240,9,9
700,240,9,9
701,240,9,9
702,241,6,3
703,241,6,3
704,241,6,3
705,242,10,9
706,242,10,9
707,242,10,9
711,244,1,10
712,244,1,10
713,244,1,10
720,247,10,8
721,247,10,8
722,247,10,8
726,249,3,7
727,249,3,7
728,249,3,7
729,250,10,9
730,250,10,9
731,250,10,9
732,251,7,8
733,251,7,8
734,251,7,8
735,252,6,8
736,252,6,8
737,253,8,4
738,253,8,4
739,253,8,4
740,254,8,6
741,254,8,6
742,254,8,6
743,255,4,7
744,255,4,7
745,255,4,7
746,256,9,4
747,256,9,4
748,256,9,4
749,257,5,9
750,257,5,9
751,257,5,9
752,258,10,2
753,258,10,2
754,258,10,2
755,259,9,10
756,259,9,10
757,259,9,10
758,260,9,8
759,260,9,8
760,260,9,8
764,262,9,3
765,262,9,3
766,262,9,3
769,264,1,3
770,264,1,3
771,264,1,3
772,265,7,5
773,265,7,5
774,265,7,5
775,266,9,3
776,266,9,3
777,267,10,6
778,267,10,6
779,268,6,10
780,268,6,10
781,268,6,10
782,269,5,8
783,269,5,8
784,269,5,8
785,270,8,6
786,270,8,6
787,270,8,6
788,271,3,3
789,271,3,3
790,271,3,3
791,272,5,1
792,272,5,1
793,272,5,1
85,29,2,NA
86,29,2,NA
87,29,2,NA
144,49,2,NA
145,49,2,NA
146,49,2,NA
235,81,2,NA
236,81,2,NA
237,81,2,NA
238,82,2,NA
239,82,2,NA
240,82,2,NA
256,88,2,NA
257,88,2,NA
258,88,2,NA
278,96,2,NA
279,96,2,NA
280,96,2,NA
287,99,2,NA
288,99,2,NA
289,99,2,NA
349,120,2,NA
350,120,2,NA
351,121,2,NA
352,121,2,NA
353,121,2,NA
383,132,2,NA
384,132,2,NA
410,142,2,NA
411,142,2,NA
412,142,2,NA
443,153,2,NA
444,153,2,NA
445,153,2,NA
455,157,2,NA
456,157,2,NA
472,163,2,NA
473,163,2,NA
474,163,2,NA
475,164,2,NA
476,164,2,NA
477,164,2,NA
533,184,2,NA
534,184,2,NA
535,184,2,NA
557,192,2,NA
558,192,2,NA
559,192,2,NA
577,199,2,NA
578,199,2,NA
579,199,2,NA
580,200,2,NA
581,200,2,NA
582,200,2,NA
628,216,2,NA
629,216,2,NA
630,216,2,NA
657,226,2,NA
658,226,2,NA
659,226,2,NA
684,235,2,NA
685,235,2,NA
686,235,2,NA
708,243,2,NA
709,243,2,NA
710,243,2,NA
714,245,2,NA
715,245,2,NA
716,245,2,NA
717,246,2,NA
718,246,2,NA
719,246,2,NA
723,248,2,NA
724,248,2,NA
725,248,2,NA
761,261,2,NA
762,261,2,NA
763,261,2,NA
767,263,2,NA
768,263,2,NA
