"ID","ID_Location","Outer_Fold","Inner_Fold"
4,2,4,1
5,2,4,1
6,2,4,1
7,3,5,3
8,3,5,3
9,3,5,3
10,4,8,7
11,4,8,7
12,4,8,7
16,6,4,2
17,6,4,2
18,6,4,2
19,7,1,2
20,7,1,2
21,7,1,2
22,8,3,9
23,8,3,9
24,8,3,9
25,9,10,9
26,9,10,9
27,9,10,9
28,10,1,6
29,10,1,6
30,10,1,6
31,11,6,5
32,11,6,5
33,11,6,5
34,12,7,8
35,12,7,8
36,12,7,8
37,13,3,4
38,13,3,4
39,13,3,4
40,14,7,9
41,14,7,9
42,14,7,9
43,15,6,4
44,15,6,4
45,15,6,4
46,16,7,10
47,16,7,10
48,16,7,10
49,17,10,9
50,17,10,9
51,17,10,9
55,19,4,5
56,19,4,5
57,19,4,5
58,20,1,3
59,20,1,3
60,20,1,3
61,21,4,2
62,21,4,2
63,21,4,2
64,22,8,7
65,22,8,7
66,22,8,7
67,23,1,6
68,23,1,6
69,23,1,6
70,24,3,3
71,24,3,3
72,24,3,3
73,25,3,1
74,25,3,1
75,25,3,1
76,26,7,1
77,26,7,1
78,26,7,1
79,27,6,9
80,27,6,9
81,27,6,9
82,28,3,8
83,28,3,8
84,28,3,8
85,29,2,5
86,29,2,5
87,29,2,5
88,30,4,9
89,30,4,9
90,30,4,9
94,32,7,7
95,32,7,7
96,32,7,7
97,33,5,7
98,33,5,7
99,33,5,7
103,35,4,10
104,35,4,10
105,35,4,10
106,36,3,2
107,36,3,2
108,36,3,2
109,37,5,10
110,37,5,10
111,37,5,10
112,38,8,7
113,38,8,7
114,38,8,7
115,39,3,6
116,39,3,6
117,39,3,6
118,40,5,5
119,40,5,5
120,40,5,5
121,41,3,2
122,41,3,2
123,42,6,4
124,42,6,4
125,42,6,4
126,43,4,5
127,43,4,5
128,43,4,5
129,44,6,1
130,44,6,1
131,44,6,1
132,45,7,9
133,45,7,9
134,45,7,9
135,46,4,2
136,46,4,2
137,46,4,2
138,47,1,5
139,47,1,5
140,47,1,5
144,49,2,1
145,49,2,1
146,49,2,1
147,50,6,3
148,50,6,3
149,50,6,3
150,51,3,8
151,51,3,8
152,51,3,8
153,52,1,4
154,52,1,4
155,52,1,4
156,53,10,10
157,53,10,10
158,53,10,10
159,54,7,6
160,54,7,6
161,54,7,6
162,55,10,3
163,55,10,3
164,55,10,3
165,56,5,3
166,56,5,3
167,56,5,3
168,57,8,4
169,57,8,4
170,57,8,4
171,58,1,7
172,58,1,7
173,59,7,2
174,59,7,2
175,59,7,2
176,60,1,4
177,60,1,4
178,60,1,4
179,61,5,10
180,61,5,10
181,61,5,10
182,62,4,10
183,62,4,10
184,62,4,10
185,63,10,6
186,63,10,6
187,63,10,6
188,64,6,2
189,64,6,2
190,64,6,2
191,65,6,5
192,65,6,5
193,65,6,5
194,66,4,8
195,66,4,8
196,66,4,8
197,67,6,4
198,67,6,4
199,68,10,7
200,68,10,7
201,68,10,7
202,69,6,2
203,69,6,2
204,69,6,2
205,70,4,2
206,70,4,2
207,70,4,2
216,74,10,1
217,74,10,1
218,74,10,1
219,75,7,6
220,75,7,6
221,76,4,5
222,76,4,5
223,76,4,5
224,77,3,7
225,77,3,7
226,77,3,7
227,78,5,5
228,78,5,5
229,78,5,5
230,79,7,10
231,79,7,10
232,80,8,1
233,80,8,1
234,80,8,1
235,81,2,1
236,81,2,1
237,81,2,1
238,82,2,5
239,82,2,5
240,82,2,5
244,84,10,8
245,84,10,8
246,84,10,8
247,85,5,10
248,85,5,10
249,85,5,10
250,86,5,1
251,86,5,1
252,86,5,1
253,87,8,8
254,87,8,8
255,87,8,8
256,88,2,3
257,88,2,3
258,88,2,3
259,89,10,4
260,89,10,4
261,89,10,4
262,90,10,2
263,90,10,2
264,90,10,2
265,91,1,3
266,91,1,3
267,92,1,1
268,92,1,1
269,93,10,2
270,93,10,2
271,93,10,2
272,94,8,6
273,94,8,6
274,94,8,6
275,95,4,3
276,95,4,3
277,95,4,3
278,96,2,8
279,96,2,8
280,96,2,8
281,97,7,3
282,97,7,3
283,97,7,3
284,98,1,7
285,98,1,7
286,98,1,7
287,99,2,5
288,99,2,5
289,99,2,5
293,101,5,3
294,101,5,3
295,101,5,3
296,102,5,9
297,102,5,9
298,102,5,9
299,103,6,6
300,103,6,6
301,103,6,6
302,104,1,2
