"ID","ID_Location","Outer_Fold","Inner_Fold"
1,1,9,5
2,1,9,5
3,1,9,5
7,3,5,8
8,3,5,8
9,3,5,8
10,4,8,1
11,4,8,1
12,4,8,1
13,5,9,7
14,5,9,7
15,5,9,7
19,7,1,2
20,7,1,2
21,7,1,2
22,8,3,8
23,8,3,8
24,8,3,8
25,9,10,7
26,9,10,7
27,9,10,7
28,10,1,7
29,10,1,7
30,10,1,7
31,11,6,7
32,11,6,7
33,11,6,7
34,12,7,7
35,12,7,7
36,12,7,7
37,13,3,10
38,13,3,10
39,13,3,10
40,14,7,1
41,14,7,1
42,14,7,1
43,15,6,5
44,15,6,5
45,15,6,5
46,16,7,4
47,16,7,4
48,16,7,4
49,17,10,10
50,17,10,10
51,17,10,10
52,18,9,10
53,18,9,10
54,18,9,10
58,20,1,3
59,20,1,3
60,20,1,3
64,22,8,3
65,22,8,3
66,22,8,3
67,23,1,1
68,23,1,1
69,23,1,1
70,24,3,6
71,24,3,6
72,24,3,6
73,25,3,3
74,25,3,3
75,25,3,3
76,26,7,1
77,26,7,1
78,26,7,1
79,27,6,9
80,27,6,9
81,27,6,9
82,28,3,1
83,28,3,1
84,28,3,1
85,29,2,10
86,29,2,10
87,29,2,10
91,31,9,9
92,31,9,9
93,31,9,9
94,32,7,5
95,32,7,5
96,32,7,5
97,33,5,4
98,33,5,4
99,33,5,4
100,34,9,4
101,34,9,4
102,34,9,4
106,36,3,4
107,36,3,4
108,36,3,4
109,37,5,1
110,37,5,1
111,37,5,1
112,38,8,10
113,38,8,10
114,38,8,10
115,39,3,10
116,39,3,10
117,39,3,10
118,40,5,2
119,40,5,2
120,40,5,2
121,41,3,9
122,41,3,9
123,42,6,3
124,42,6,3
125,42,6,3
129,44,6,9
130,44,6,9
131,44,6,9
132,45,7,3
133,45,7,3
134,45,7,3
138,47,1,2
139,47,1,2
140,47,1,2
141,48,9,9
142,48,9,9
143,48,9,9
144,49,2,6
145,49,2,6
146,49,2,6
147,50,6,9
148,50,6,9
149,50,6,9
150,51,3,6
151,51,3,6
152,51,3,6
153,52,1,4
154,52,1,4
155,52,1,4
156,53,10,7
157,53,10,7
158,53,10,7
159,54,7,7
160,54,7,7
161,54,7,7
162,55,10,2
163,55,10,2
164,55,10,2
165,56,5,1
166,56,5,1
167,56,5,1
168,57,8,8
169,57,8,8
170,57,8,8
171,58,1,8
172,58,1,8
173,59,7,2
174,59,7,2
175,59,7,2
176,60,1,1
177,60,1,1
178,60,1,1
179,61,5,8
180,61,5,8
181,61,5,8
185,63,10,4
186,63,10,4
187,63,10,4
188,64,6,8
189,64,6,8
190,64,6,8
191,65,6,2
192,65,6,2
193,65,6,2
197,67,6,4
198,67,6,4
199,68,10,2
200,68,10,2
201,68,10,2
202,69,6,1
203,69,6,1
204,69,6,1
208,71,9,7
209,71,9,7
210,72,9,3
211,72,9,3
212,72,9,3
213,73,9,4
214,73,9,4
215,73,9,4
216,74,10,9
217,74,10,9
218,74,10,9
219,75,7,8
220,75,7,8
224,77,3,4
225,77,3,4
226,77,3,4
227,78,5,9
228,78,5,9
229,78,5,9
230,79,7,3
231,79,7,3
232,80,8,5
233,80,8,5
234,80,8,5
235,81,2,6
236,81,2,6
237,81,2,6
238,82,2,4
239,82,2,4
240,82,2,4
241,83,9,6
242,83,9,6
243,83,9,6
244,84,10,6
245,84,10,6
246,84,10,6
247,85,5,5
248,85,5,5
249,85,5,5
250,86,5,5
251,86,5,5
252,86,5,5
253,87,8,5
254,87,8,5
255,87,8,5
256,88,2,4
257,88,2,4
258,88,2,4
259,89,10,2
260,89,10,2
261,89,10,2
262,90,10,5
263,90,10,5
264,90,10,5
265,91,1,9
266,91,1,9
267,92,1,6
268,92,1,6
269,93,10,9
270,93,10,9
271,93,10,9
272,94,8,1
273,94,8,1
274,94,8,1
278,96,2,8
279,96,2,8
280,96,2,8
281,97,7,9
282,97,7,9
283,97,7,9
284,98,1,4
285,98,1,4
286,98,1,4
287,99,2,10
288,99,2,10
289,99,2,10
290,100,9,5
291,100,9,5
292,100,9,5
293,101,5,2
294,101,5,2
295,101,5,2
296,102,5,5
297,102,5,5
298,102,5,5
299,103,6,4
300,103,6,4
301,103,6,4
302,104,1,3
303,104,1,3
304,104,1,3
305,105,8,5
306,105,8,5
307,105,8,5
308,106,6,4
309,106,6,4
310,106,6,4
311,107,8,8
312,107,8,8
313,107,8,8
314,108,6,2
315,108,6,2
316,108,6,2
320,110,7,7
321,110,7,7
322,110,7,7
323,111,6,9
324,111,6,9
325,111,6,9
329,113,10,1
330,113,10,1
331,113,10,1
334,115,3,2
335,115,3,2
336,115,3,2
340,117,3,5
341,117,3,5
342,117,3,5
343,118,7,10
344,118,7,10
345,118,7,10
346,119,3,5
347,119,3,5
348,119,3,5
349,120,2,2
350,120,2,2
351,121,2,5
352,121,2,5
353,121,2,5
357,123,5,9
358,123,5,9
359,123,5,9
360,124,10,9
361,124,10,9
362,125,9,5
363,125,9,5
364,125,9,5
365,126,7,8
366,126,7,8
367,126,7,8
368,127,7,7
369,127,7,7
370,127,7,7
371,128,5,5
372,128,5,5
373,128,5,5
374,129,5,6
375,129,5,6
376,129,5,6
377,130,5,6
378,130,5,6
379,130,5,6
380,131,3,7
381,131,3,7
382,131,3,7
383,132,2,6
384,132,2,6
385,133,1,5
386,133,1,5
387,133,1,5
388,134,10,8
389,134,10,8
390,134,10,8
391,135,8,4
392,135,8,4
393,135,8,4
394,136,7,9
395,136,7,9
396,136,7,9
397,137,7,5
398,137,7,5
399,137,7,5
400,138,1,7
401,138,1,7
402,139,6,7
403,139,6,7
404,139,6,7
405,140,1,6
406,140,1,6
407,140,1,6
410,142,2,3
411,142,2,3
412,142,2,3
413,143,8,3
414,143,8,3
415,143,8,3
416,144,8,1
417,144,8,1
418,144,8,1
419,145,3,3
420,145,3,3
421,145,3,3
422,146,5,4
423,146,5,4
424,146,5,4
425,147,8,4
426,147,8,4
427,147,8,4
428,148,10,6
429,148,10,6
430,148,10,6
434,150,6,6
435,150,6,6
436,150,6,6
437,151,3,3
438,151,3,3
439,151,3,3
440,152,6,5
441,152,6,5
442,152,6,5
443,153,2,4
444,153,2,4
445,153,2,4
446,154,8,6
447,154,8,6
448,154,8,6
449,155,1,8
450,155,1,8
451,155,1,8
452,156,9,2
453,156,9,2
454,156,9,2
455,157,2,1
456,157,2,1
457,158,9,6
458,158,9,6
459,158,9,6
463,160,1,3
464,160,1,3
465,160,1,3
469,162,8,10
470,162,8,10
471,162,8,10
472,163,2,2
473,163,2,2
474,163,2,2
475,164,2,5
476,164,2,5
477,164,2,5
478,165,6,5
479,165,6,5
480,165,6,5
481,166,1,2
482,166,1,2
483,166,1,2
484,167,9,2
485,167,9,2
486,167,9,2
487,168,9,9
488,168,9,9
489,168,9,9
490,169,9,3
491,169,9,3
492,169,9,3
493,170,10,10
494,170,10,10
495,170,10,10
499,172,6,10
500,172,6,10
501,172,6,10
502,173,1,1
503,173,1,1
504,173,1,1
505,174,5,2
506,174,5,2
507,174,5,2
508,175,6,6
509,175,6,6
510,175,6,6
511,176,10,2
512,176,10,2
